SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,SITE,OPP_ID,OPP_ABBREVIATION,OPP_NAME,OPP_TOV_PCT,clean_DATE.x,LOOKUP,Game_Date,ROT,Away_Tm,Home_Tm,Proj_Pace,Proj_Away_OE,Proj_Home_OE,Proj_Spread,Proj_Total,clean_DATE.y
2018-19,1610612751,BKN,Brooklyn Nets,21800195,2018-11-12T00:00:00,BKN @ MIN,L,48,107.9,108.7,111.5,114.3,-3.5,-5.6,0.7,2.15,18.4,0.313,0.605,0.422,0.125,0.485,0.51,106.2,104.5,A,1610612750,MIN,Minnesota Timberwolves,0.219,2018-11-12,2018-11-12BKN,11/12/2018,713,BKN,MIN,98.9,1.128,1.191,-6.2307,229.3491,2018-11-12
2018-19,1610612740,NOP,New Orleans Pelicans,21800192,2018-11-12T00:00:00,NOP @ TOR,W,48,121.5,124.8,105.1,108.9,16.4,15.8,0.556,2.31,20.1,0.367,0.712,0.556,0.129,0.596,0.602,104.2,101,A,1610612761,TOR,Toronto Raptors,0.109,2018-11-12,2018-11-12NOP,11/12/2018,705,NOP,TOR,103.5,1.036,1.176,-14.49,228.942,2018-11-12
2018-19,1610612742,DAL,Dallas Mavericks,21800193,2018-11-12T00:00:00,DAL @ CHI,W,48,98.3,100,91,93.3,7.3,6.7,0.486,0.9,13.7,0.204,0.796,0.515,0.194,0.532,0.561,106.2,104,A,1610612741,CHI,Chicago Bulls,0.162,2018-11-12,2018-11-12DAL,11/12/2018,707,DAL,CHI,99.4,1.098,1.094,0.3976,217.8848,2018-11-12
2018-19,1610612766,CHA,Charlotte Hornets,21800184,2018-11-11T00:00:00,CHA @ DET,W,48,114.2,116.5,102.6,106.2,11.6,10.3,0.558,2,18.3,0.238,0.609,0.468,0.124,0.571,0.608,99.6,97,A,1610612765,DET,Detroit Pistons,0.103,2018-11-11,2018-11-11CHA,11/11/2018,501,CHA,DET,100.6,1.109,1.116,-0.7042,223.835,2018-11-11
2018-19,1610612749,MIL,Milwaukee Bucks,21800187,2018-11-11T00:00:00,MIL @ DEN,W,48,123.8,123.5,116.6,116.3,7.3,7.1,0.563,2.08,20.6,0.154,0.76,0.494,0.133,0.673,0.674,97.8,98,A,1610612743,DEN,Denver Nuggets,0.102,2018-11-11,2018-11-11MIL,11/11/2018,507,MIL,DEN,101.1,1.113,1.133,-2.022,227.0706,2018-11-11
2018-19,1610612738,BOS,Boston Celtics,21800188,2018-11-11T00:00:00,BOS @ POR,L,48,94.6,96.9,103.7,103.1,-9.2,-6.2,0.528,1.46,14.6,0.281,0.667,0.457,0.134,0.462,0.483,97.9,97,A,1610612757,POR,Portland Trail Blazers,0.216,2018-11-11,2018-11-11BOS,11/11/2018,509,BOS,POR,97.7,1.087,1.082,0.4885,211.9113,2018-11-11
2018-19,1610612754,IND,Indiana Pacers,21800185,2018-11-11T00:00:00,IND @ HOU,L,48,105.7,108.4,118.5,122.3,-12.8,-13.9,0.667,1.85,18.8,0.256,0.75,0.506,0.137,0.532,0.576,97.3,94.5,A,1610612745,HOU,Houston Rockets,0.181,2018-11-11,2018-11-11IND,11/11/2018,503,IND,HOU,95.1,1.083,1.143,-5.706,211.6926,2018-11-11
2018-19,1610612737,ATL,Atlanta Hawks,21800189,2018-11-11T00:00:00,ATL @ LAL,L,48,96.6,100,98.6,100.9,-2,-0.9,0.61,1.32,17.1,0.273,0.614,0.446,0.179,0.5,0.526,109.1,106,A,1610612747,LAL,Los Angeles Lakers,0.217,2018-11-11,2018-11-11ATL,11/11/2018,511,ATL,LAL,110.5,1.046,1.181,-14.9175,246.0835,2018-11-11
2018-19,1610612753,ORL,Orlando Magic,21800186,2018-11-11T00:00:00,ORL @ NYK,W,48,110.7,110.6,83,85.6,27.7,25,0.705,2.82,21.2,0.204,0.705,0.47,0.106,0.536,0.559,105.5,104,A,1610612752,NYK,New York Knicks,0.183,2018-11-11,2018-11-11ORL,11/11/2018,505,ORL,NYK,98.1,1.074,1.09,-1.5696,212.2884,2018-11-11
2018-19,1610612739,CLE,Cleveland Cavaliers,21800178,2018-11-10T00:00:00,CLE @ CHI,L,48,102.2,101,101.8,103.1,0.4,-2.1,0.385,1.25,11.6,0.327,0.851,0.569,0.124,0.473,0.495,96.6,96.5,A,1610612741,CHI,Chicago Bulls,0.115,2018-11-10,2018-11-10CLE,11/10/2018,707,CLE,CHI,96.1,1.085,1.141,-5.3816,213.9186,2018-11-10
2018-19,1610612755,PHI,Philadelphia 76ers,21800179,2018-11-10T00:00:00,PHI @ MEM,L,53,99,101,106.1,105.7,-7,-4.7,0.614,1.17,19,0.256,0.705,0.519,0.219,0.565,0.576,96.3,95.55,A,1610612763,MEM,Memphis Grizzlies,0.104,2018-11-10,2018-11-10PHI,11/10/2018,711,PHI,MEM,99.6,1.066,1.079,-1.2948,213.642,2018-11-10
