"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"32020-84696","PG","Jevon","Jevon Carter","Carter","9.219999694824219","10","3600","MIL@MEM","MEM","MIL","","","","",""
"32020-15583","PG","Seth","Seth Curry","Curry","9.415384928385416","39","3600","CLE@POR","POR","CLE","","","","",""
"32020-84702","SG","Lonnie","Lonnie Walker IV","Walker IV","4.199999809265137","1","3600","SA@DAL","SA","DAL","","","","",""
"32020-9454","C","Zaza","Zaza Pachulia","Pachulia","13.996874809265137","32","3600","ORL@DET","DET","ORL","GTD","Lower leg","","",""
"32020-85305","PF","Kenrich","Kenrich Williams","Williams","2.6000000635782876","12","3600","NO@GS","NO","GS","","","","",""
"32020-9613","PG","Devin","Devin Harris","Harris","12.377419748613912","31","3600","SA@DAL","DAL","SA","","","","",""
"32020-66455","PF","Henry","Henry Ellenson","Ellenson","12.149999618530273","2","3600","ORL@DET","DET","ORL","GTD","Ankle","","",""
"32020-16293","SF","Norman","Norman Powell","Powell","13.58260843028193","23","3600","TOR@BOS","TOR","BOS","","","","",""
"32020-9643","PG","Shaun","Shaun Livingston","Livingston","12.393939393939394","33","3600","NO@GS","GS","NO","","","","",""
"32020-58295","PF","D.J.","D.J. Wilson","Wilson","16.313333129882814","15","3600","MIL@MEM","MIL","MEM","","","","",""
"32020-9661","C","Marcin","Marcin Gortat","Gortat","15.67777845594618","36","3600","UTA@LAC","LAC","UTA","","","","",""
"32020-9669","PF","Jason","Jason Smith","Smith","8.77058859432445","17","3600","MIL@MEM","MIL","MEM","","","","",""
"32020-9678","PF","Channing","Channing Frye","Frye","6.676190330868676","21","3600","CLE@POR","CLE","POR","","","","",""
"32020-58350","SF","Stanley","Stanley Johnson","Johnson","16.74594528610642","37","3600","ORL@DET","DET","ORL","","","","",""
"32020-18435","SF","Alfonzo","Alfonzo McKinnie","McKinnie","11.15142822265625","35","3500","NO@GS","GS","NO","","","","",""
"32020-85521","SF","Theo","Theo Pinson","Pinson","6.857142857142857","7","3500","BKN@HOU","BKN","HOU","","","","",""
"32020-64017","C","Salah","Salah Mejri","Mejri","6.123076805701623","13","3500","SA@DAL","DAL","SA","","","","",""
